d, q, M ,c, theta, f,l, s, as
5,2,500,1,2,2,200,0.022868262629629023,0.00033748215126563853
5,2,500,2,2,2,100,0.00282473881683941,0.0004994330908089902
5,2,500,3,5,2,200,0.017317957162812696,0.0034057259431112424

10,2,500,1,2,2,200,0.31271382443331525,0.000751190185653811
10,2,500,2,2,2,100,0.4044195219821976,0.0007465653203607964
10,2,500,3,5,2,200,0.4799786267062009,0.005906373910820427

10,3,200,1,5,3,100,0.13448544242494898,0.009521361970217405
10,3,200,3,4,3,100,0.21361983593148554,0.034270705318858834
10,3,200,2,2,3,100,0.41547447994632974,0.015733654639104096

20,2,500,1,3,3,100,0.02844339923722385,0.01603279492586757
20,2,500,2,3,3,100,0.02651389506239759,0.004938646679092808
20,2,500,3,3,3,100,0.028703059132075347,0.0007092259053420436

10,3,500,2,2,1,100,8.550606050111328e-5,1.1563897985340141e-6
10,3,500,3,4,1,100,0.0002828491969566763,7.444584305327897e-7
10,3,500,1,3,1,100,4.478554214476854e-5,1.0467690962397391e-6

20,2,500,1,2,1,100,0.005043146251568537,1.804383639632081e-6
20,2,500,3,4,1,100,0.0039994130283263745,8.276972134063493e-7
20,2,500,2,1,1,100,0.006341259690392152,1.1523865388360087e-6
